[2026-05-10 03:16:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:12] FrameRendered: from current_frame.txt | Source: renderer
