[2026-05-23 04:08:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:16] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:14:16] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:19:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:19:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:20:23] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:20:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:20:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:20:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:20:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:20:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:37:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:37:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:37:28] FrameRendered: from current_frame.txt | Source: renderer
