[2026-05-23 06:37:57] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:37:58] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:37:58] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:37:59] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:38:00] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:39:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:39:41] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:39:42] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:39:45] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:39:46] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:39:47] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:39:48] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:39:48] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:39:48] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:39:49] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:39:50] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:39:50] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:39:50] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:39:51] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:39:52] KeyCaptured: 45 ('-') | Source: keyboard_linux
[2026-05-23 06:39:52] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:39:52] KeyCaptured: 46 ('.') | Source: keyboard_linux
[2026-05-23 06:39:52] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 06:39:52] KeyCaptured: 120 ('x') | Source: keyboard_linux
[2026-05-23 06:39:53] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 06:39:53] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 04:19:39] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 04:37:34] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 04:37:35] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 04:37:36] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-05-23 04:37:36] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 04:37:38] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 04:37:38] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 04:37:38] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 04:37:40] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 04:37:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 04:37:41] KeyCaptured: 61 ('=') | Source: keyboard_linux
[2026-05-23 04:37:41] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 04:37:42] KeyCaptured: 46 ('.') | Source: keyboard_linux
[2026-05-23 04:37:42] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 04:37:42] KeyCaptured: 120 ('x') | Source: keyboard_linux
[2026-05-23 04:37:43] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 04:37:43] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 05:08:33] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 05:08:34] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 05:08:34] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 05:08:34] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 05:17:16] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 05:19:07] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 05:19:08] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 05:23:30] KeyCaptured: 22 ('?') | Source: keyboard_linux
[2026-05-23 06:40:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:40:33] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-05-23 06:40:33] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:40:34] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:40:36] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-05-23 06:40:36] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:40:43] KeyCaptured: 22 ('?') | Source: keyboard_linux
